Date,National Whatever Day,Associated Challenge,,,,,Resources: description,Resources: link
1-Jan,New Year's Day,Make a New Year's resolution - and keep it!,,,,,An online to-do list to manage your goals,https://todoist.com/
2-Jan,Run it up the Flagpole and See If Anyone Salutes It Day,Do something new that you've been wanting to do for a long time,,,,,Benefits of doing new things,http://www.beliefnet.com/columnists/everydayinspiration/2014/03/the-benefits-of-trying-new-things.html
3-Jan,Festival of Sleep Day,Take a nap,,,,,Benefits to napping,https://michaelhyatt.com/why-you-should-take-a-nap-every-day.html
4-Jan,Trivia Day,Learn something new,,,,,A website with interesting information,http://www.todayifoundout.com/
5-Jan,Bird Day,Go bird watching,,,,,A nonprofit devoted to helping birds,https://helpwildbirds.org/
6-Jan,Bean Day,Cook some beans! Eat some beans! Plant some beans!,,,,,Spicy Lentil Soup Recipe,http://www.foodnetwork.com/recipes/food-network-kitchen/spicy-lentil-soup-recipe-1973283
7-Jan,Old Rock Day,Appreciate some fossils in a museum,,,,,Virtual Fossil Museum,http://www.fossilmuseum.net/
8-Jan,National JoyGerm Day,Do a random act of kindness,,,,,Inspirational kindness website,https://www.randomactsofkindness.org/
9-Jan,Word Nerd Day,Learn a new word,,,,,Random word generator,https://www.randomlists.com/random-words
10-Jan,Peculiar People Day,Give someone an unconventional complement.,,,,,Celebrate weirdness!,http://99u.com/articles/42627/the-undeniable-benefits-of-being-weird
11-Jan,National Step in a Puddle and Splash Your Friend Day,Self-explanatory. ;),,,,,Here are some raincoats you can buy from Amazon to prepare yourself,https://www.amazon.com/raincoats/s?ie=UTF8&page=1&rh=i%3Aaps%2Ck%3Araincoats
12-Jan,Feast of Fabulous Wild Men Day,Go on a hike.,,,,,Top 20 American Hiking Trails,https://www.usatoday.com/story/travel/destinations/2014/04/22/best-hiking-trail/7967487/
13-Jan,Make Your Dream Come True Day,Take a step towards completing a New Year's resolution.,,,,,A CNN article about keeping New Year's resolutions,http://www.cnn.com/2017/01/20/health/staying-well-new-year-resolution-mansour/index.html
14-Jan,National Dress Up Your Pet Day,Have a photoshoot with your pet or a friend's!,,,,,"Top 10 Reasons to Dress Up Your Pet, according to Pet MD",http://www.petmd.com/dog/slideshows/training/top-ten-reasons-to-dress-up-your-pet
15-Jan,Hat Day,Wear your most flamboyant hat.,,,,,Various types of hat styles,https://en.wikipedia.org/wiki/List_of_hat_styles
16-Jan,National Nothing Day,Find your inner peace (watch Kung Fu Panda),,,,,Kung Fu Panda!,http://www.dreamworks.com/kungfupanda/?van=http%3A%2F%2Fwww.kungfupanda.com%2F
17-Jan,Ben Franklin's Birthday,Measure how many miles you've driven today.,,,,,Ben Franklin's Odometer,http://www.benfranklin300.org/frankliniana/result.php?id=170&sec=1
18-Jan,Winnie the Pooh Day,Revisit some childhood favorites.,,,,,Disney's Winnie the Pooh,http://winniethepooh.disney.com/
